Adverse Event,PK Metric,AE+ (N),AE- (N),AE+ Median (IQR),AE- Median (IQR),p-value,Sig
Infection (all grade),Cmax_72hr,27,2,0.1959 (0.1517-0.4947),0.1468 (0.1322-0.1614),0.1477832512315271,
Infection (all grade),Cavg_72hr,27,2,0.1142 (0.0905-0.1504),0.0906 (0.0830-0.0981),0.20689655172413793,
Infection (all grade),Cmax_120hr,27,2,0.8341 (0.6527-1.0368),0.1726 (0.1538-0.1913),0.0049261083743842365,*
Infection (all grade),Cavg_120hr,27,2,0.2969 (0.2189-0.4150),0.1186 (0.1069-0.1304),0.009852216748768473,*
Infection (all grade),Cmax_dose1,27,2,0.1372 (0.1210-0.1760),0.1774 (0.1573-0.1976),0.35467980295566504,
Infection (all grade),Cavg_dose1,27,2,0.0866 (0.0688-0.1068),0.1342 (0.1198-0.1486),0.09852216748768473,
Infection (all grade),Cmax_dose3,26,1,5.6769 (4.8880-6.9295),4.4375 (4.4375-4.4375),NA,
Infection (all grade),Cavg_dose3,26,1,4.4835 (3.8278-5.4011),2.6066 (2.6066-2.6066),NA,
Neuropathy (all grade),Cmax_72hr,12,17,0.1768 (0.1392-0.4311),0.1960 (0.1759-0.4820),0.5557900440564373,
Neuropathy (all grade),Cavg_72hr,12,17,0.1067 (0.0880-0.1316),0.1154 (0.1049-0.1478),0.5557900440564373,
Neuropathy (all grade),Cmax_120hr,12,17,0.7220 (0.6421-0.9449),0.8956 (0.6297-1.0504),0.7437773305365826,
Neuropathy (all grade),Cavg_120hr,12,17,0.2515 (0.2174-0.3392),0.3299 (0.2077-0.4075),0.7769962714806083,
Neuropathy (all grade),Cmax_dose1,12,17,0.1423 (0.1293-0.1653),0.1371 (0.1155-0.1779),0.5557900440564373,
Neuropathy (all grade),Cavg_dose1,12,17,0.0883 (0.0797-0.1019),0.0774 (0.0670-0.1095),0.6787555518558439,
Neuropathy (all grade),Cmax_dose3,11,16,6.0085 (5.1185-6.9155),5.2338 (4.4671-6.7991),0.3675732930814368,
Neuropathy (all grade),Cavg_dose3,11,16,4.6371 (4.0092-5.3437),4.0887 (3.5894-5.3584),0.42207457568879025,
Bilirubinemia (all grade),Cmax_72hr,2,27,0.5321 (0.5241-0.5401),0.1875 (0.1454-0.4174),0.09852216748768473,
Bilirubinemia (all grade),Cavg_72hr,2,27,0.1637 (0.1606-0.1668),0.1094 (0.0886-0.1274),0.07881773399014778,
Bilirubinemia (all grade),Cmax_120hr,2,27,1.8178 (1.3567-2.2790),0.7366 (0.6351-0.9945),0.24137931034482757,
Bilirubinemia (all grade),Cavg_120hr,2,27,0.4984 (0.4530-0.5438),0.2938 (0.1996-0.3849),0.09852216748768473,
Bilirubinemia (all grade),Cmax_dose1,2,27,0.1193 (0.1174-0.1212),0.1404 (0.1219-0.1827),0.27586206896551724,
Bilirubinemia (all grade),Cavg_dose1,2,27,0.0717 (0.0703-0.0731),0.0885 (0.0720-0.1091),0.31527093596059114,
Bilirubinemia (all grade),Cmax_dose3,2,25,4.9383 (4.8100-5.0665),6.0085 (4.8720-6.9435),0.3646723646723647,
Bilirubinemia (all grade),Cavg_dose3,2,25,3.9750 (3.8831-4.0670),4.6371 (3.8236-5.4403),0.5128205128205129,
Liver Enzyme Elevation (all grade),Cmax_72hr,3,26,0.5481 (0.3642-0.5584),0.1908 (0.1429-0.4239),0.14997263273125344,
Liver Enzyme Elevation (all grade),Cavg_72hr,3,26,0.1699 (0.1396-0.1728),0.1114 (0.0886-0.1292),0.1297208538587849,
Liver Enzyme Elevation (all grade),Cmax_120hr,3,26,0.8956 (0.7691-0.9171),0.7558 (0.6324-1.0436),1,
Liver Enzyme Elevation (all grade),Cavg_120hr,3,26,0.4075 (0.2995-0.4150),0.2944 (0.2087-0.3920),0.659551176792556,
Liver Enzyme Elevation (all grade),Cmax_dose1,3,26,0.1302 (0.1266-0.1677),0.1388 (0.1205-0.1770),0.8133552271483305,
Liver Enzyme Elevation (all grade),Cavg_dose1,3,26,0.0780 (0.0762-0.1041),0.0883 (0.0687-0.1080),0.8664477285166939,
Liver Enzyme Elevation (all grade),Cmax_dose3,3,24,5.3453 (5.2700-6.1444),5.6408 (4.8035-7.0032),0.7993162393162392,
Liver Enzyme Elevation (all grade),Cavg_dose3,3,24,4.3300 (4.2445-4.8851),4.3792 (3.7516-5.3584),0.6885470085470083,
Creatinine Elevation (all grade),Cmax_72hr,1,28,0.1530 (0.1530-0.1530),0.1950 (0.1480-0.4884),NA,
Creatinine Elevation (all grade),Cavg_72hr,1,28,0.0922 (0.0922-0.0922),0.1141 (0.0887-0.1491),NA,
Creatinine Elevation (all grade),Cmax_120hr,1,28,0.5493 (0.5493-0.5493),0.8046 (0.6421-1.0300),NA,
Creatinine Elevation (all grade),Cavg_120hr,1,28,0.1620 (0.1620-0.1620),0.2960 (0.2107-0.4113),NA,
Creatinine Elevation (all grade),Cmax_dose1,1,28,0.1742 (0.1742-0.1742),0.1372 (0.1214-0.1803),NA,
Creatinine Elevation (all grade),Cavg_dose1,1,28,0.1095 (0.1095-0.1095),0.0874 (0.0688-0.1063),NA,
Creatinine Elevation (all grade),Cmax_dose3,1,26,6.2732 (6.2732-6.2732),5.3091 (4.8510-6.9295),NA,
Creatinine Elevation (all grade),Cavg_dose3,1,26,4.9319 (4.9319-4.9319),4.2445 (3.7992-5.4011),NA,
Secondary Malignancy (all grade),Cmax_72hr,1,28,0.1404 (0.1404-0.1404),0.1950 (0.1523-0.4884),NA,
