Outcome,Cutoff,AUC,Sensitivity,Specificity,Youden's J,PPV,NPV,Accuracy,F1 Score,LR+,LR-
Response (≥VGPR),0.2959970097864463,0.839 (0.637-1.000),0.643,1,0.643,1,0.444,0.722,0.783,Inf,0.357
CRS (any grade),0.3042018642569729,0.781 (0.598-0.964),0.733,0.857,0.59,0.846,0.75,0.793,0.786,5.133,0.311
CRS (Grade 2+),0.3206640092434687,0.710 (0.447-0.974),0.833,0.696,0.529,0.417,0.941,0.724,0.556,2.738,0.24
