Adverse Event,PK Metric,AE+ (N),AE- (N),AE+ Median (IQR),AE- Median (IQR),p-value,Sig
Infection (all grade),Cmax_dose1,27,2,"0.137 (0.121, 0.176)","0.177 (0.157, 0.198)",0.355,
Infection (all grade),Cavg_dose1,27,2,"0.087 (0.069, 0.107)","0.134 (0.120, 0.149)",0.099,
Infection (all grade),Cmax_dose3,26,1,"5.677 (4.888, 6.929)","4.438 (4.438, 4.438)",N/A,
Infection (all grade),Cavg_dose3,26,1,"4.484 (3.828, 5.401)","2.607 (2.607, 2.607)",N/A,
Neuropathy (all grade),Cmax_72hr,12,17,"0.177 (0.139, 0.431)","0.196 (0.176, 0.482)",0.556,
Neuropathy (all grade),Cavg_72hr,12,17,"0.107 (0.088, 0.132)","0.115 (0.105, 0.148)",0.556,
Neuropathy (all grade),Cmax_120hr,12,17,"0.722 (0.642, 0.945)","0.896 (0.630, 1.050)",0.744,
Neuropathy (all grade),Cavg_120hr,12,17,"0.252 (0.217, 0.339)","0.330 (0.208, 0.408)",0.777,
Neuropathy (all grade),Cmax_dose1,12,17,"0.142 (0.129, 0.165)","0.137 (0.116, 0.178)",0.556,
Neuropathy (all grade),Cavg_dose1,12,17,"0.088 (0.080, 0.102)","0.077 (0.067, 0.110)",0.679,
Neuropathy (all grade),Cmax_dose3,11,16,"6.009 (5.118, 6.915)","5.234 (4.467, 6.799)",0.368,
Neuropathy (all grade),Cavg_dose3,11,16,"4.637 (4.009, 5.344)","4.089 (3.589, 5.358)",0.422,
Bilirubinemia (all grade),Cmax_72hr,2,27,"0.532 (0.524, 0.540)","0.187 (0.145, 0.417)",0.099,
Bilirubinemia (all grade),Cavg_72hr,2,27,"0.164 (0.161, 0.167)","0.109 (0.089, 0.127)",0.079,
Bilirubinemia (all grade),Cmax_120hr,2,27,"1.818 (1.357, 2.279)","0.737 (0.635, 0.995)",0.241,
Bilirubinemia (all grade),Cavg_120hr,2,27,"0.498 (0.453, 0.544)","0.294 (0.200, 0.385)",0.099,
Bilirubinemia (all grade),Cmax_dose1,2,27,"0.119 (0.117, 0.121)","0.140 (0.122, 0.183)",0.276,
Bilirubinemia (all grade),Cavg_dose1,2,27,"0.072 (0.070, 0.073)","0.089 (0.072, 0.109)",0.315,
Bilirubinemia (all grade),Cmax_dose3,2,25,"4.938 (4.810, 5.066)","6.009 (4.872, 6.944)",0.365,
Bilirubinemia (all grade),Cavg_dose3,2,25,"3.975 (3.883, 4.067)","4.637 (3.824, 5.440)",0.513,
Liver Enzyme Elevation (all grade),Cmax_72hr,3,26,"0.548 (0.364, 0.558)","0.191 (0.143, 0.424)",0.150,
Liver Enzyme Elevation (all grade),Cavg_72hr,3,26,"0.170 (0.140, 0.173)","0.111 (0.089, 0.129)",0.130,
Liver Enzyme Elevation (all grade),Cmax_120hr,3,26,"0.896 (0.769, 0.917)","0.756 (0.632, 1.044)",1.000,
Liver Enzyme Elevation (all grade),Cavg_120hr,3,26,"0.408 (0.300, 0.415)","0.294 (0.209, 0.392)",0.660,
Liver Enzyme Elevation (all grade),Cmax_dose1,3,26,"0.130 (0.127, 0.168)","0.139 (0.121, 0.177)",0.813,
Liver Enzyme Elevation (all grade),Cavg_dose1,3,26,"0.078 (0.076, 0.104)","0.088 (0.069, 0.108)",0.866,
Liver Enzyme Elevation (all grade),Cmax_dose3,3,24,"5.345 (5.270, 6.144)","5.641 (4.804, 7.003)",0.799,
